"day","tweetcount","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","function","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb_y","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body_y","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler"
"2017-02-07 00:00:00",446,8982,40467.18999999991,26445.68,10319.930000000022,12884.810000000092,5484.01,9389.930000000008,9318.100000000008,1180.6399999999983,650.3300000000002,230.01,194.4299999999999,112.82999999999998,38.33,74.77,530.3300000000002,1161.9600000000005,4867.450000000001,1214.009999999999,515.0800000000004,570.7000000000005,264.7099999999999,2976.1300000000047,656.38,265.3999999999999,175.8899999999999,1164.07,239.83999999999992,933.5799999999994,350.79999999999995,569.9699999999999,104.2,343.31999999999994,72.33,1770.4799999999996,22.06,21.13,48.190000000000005,61.050000000000004,1053.2100000000005,158.85000000000002,287.96999999999986,158.98,198.0799999999999,100.44000000000001,271.0999999999999,306.24999999999994,190.15999999999994,82.04,43.64000000000001,532.1300000000001,62.29,61.78999999999999,386.9699999999999,12.9,1922.1200000000006,456.3499999999997,175.64999999999992,1163.2999999999997,175.3,72.52,339.5499999999999,2290.6600000000008,317.13999999999993,5975.090000000009,1488.1700000000003,3095.600000000006,1049.26,1227.989999999999,248.57999999999998,39.66,220.0399999999999,28.0,186.75999999999996,2432.0900000000024,50.53000000000001,2336.8000000000025,47.879999999999995,14.19,0.0
"2017-02-08 00:00:00",832,17306,75169.59999999944,48001.479999999894,26823.089999999967,24153.34000000021,9879.720000000001,20710.100000000028,14643.710000000036,1950.4999999999993,1232.5599999999997,239.35999999999993,438.49000000000007,277.15,138.19,139.42999999999998,710.8000000000001,1592.6500000000008,6704.150000000027,1763.7499999999998,2342.000000000001,609.7399999999998,292.18,3072.9500000000025,2617.5799999999977,499.4900000000004,231.19999999999993,2919.440000000001,353.8100000000001,1632.0800000000002,664.7200000000001,967.3999999999996,264.86999999999995,403.84000000000003,91.54,2361.2599999999993,59.48000000000001,53.80000000000001,202.87999999999988,212.79000000000005,3195.690000000006,268.5299999999999,284.6999999999999,408.2699999999998,1877.5499999999963,381.45999999999987,318.27,444.38000000000034,236.0499999999999,90.33,122.17999999999999,2738.460000000004,68.21000000000001,160.63,2411.360000000001,87.72999999999999,2670.130000000001,853.0700000000002,329.88,1334.749999999999,219.3499999999999,154.33999999999997,486.75999999999993,2250.939999999999,315.87000000000006,13353.04000000002,2468.410000000001,5215.26000000002,5053.560000000015,1293.9799999999993,426.06,66.85,168.70999999999992,131.65000000000003,285.3299999999999,4695.2800000000225,98.16,4507.740000000019,61.25,49.760000000000005,29.84
"2017-02-09 00:00:00",411,8547,35986.55999999999,24861.890000000047,9652.73,12865.670000000064,5302.780000000001,9462.809999999996,9077.230000000001,1204.05,751.5100000000002,147.23,213.8799999999999,194.35999999999996,80.24,115.77,452.56000000000023,1322.0300000000007,3873.7800000000016,1363.6199999999992,831.8500000000001,837.8000000000003,206.6699999999999,2444.4500000000003,1058.02,357.15999999999997,231.6699999999999,802.1300000000005,202.78999999999994,1351.32,586.1600000000002,760.6599999999999,47.05,352.61999999999995,71.32,1860.4099999999974,65.85,53.3,106.92,155.05999999999995,1720.0699999999997,418.8400000000003,242.0299999999999,150.94999999999993,515.1600000000002,238.54,424.66999999999996,255.9099999999999,175.87999999999997,63.379999999999995,13.09,1160.8199999999988,23.979999999999997,53.42,1030.4499999999996,43.91,2171.14,589.8499999999999,294.96999999999997,1037.4299999999998,209.0899999999999,254.27,372.13999999999993,1542.8799999999999,340.9599999999999,4999.420000000005,1051.6699999999996,2360.0200000000004,1217.2699999999988,1117.6100000000001,350.51000000000005,34.64,173.71999999999994,36.93,169.1,2312.34,39.99,2194.9899999999993,65.91,32.01,5.26
"2017-02-10 00:00:00",237,4829,20865.630000000005,14400.52,7299.260000000001,7123.230000000028,3384.84,5842.439999999999,5055.109999999998,786.9700000000004,531.0700000000002,190.29999999999995,151.26999999999998,123.94,27.650000000000002,37.96,255.91999999999996,643.6500000000003,2350.1400000000017,641.3600000000002,407.8200000000003,411.17000000000013,86.5,1357.929999999999,526.4900000000001,128.33999999999995,135.76999999999995,591.8399999999999,81.67999999999999,853.8599999999999,356.96,496.9099999999999,100.33,229.06999999999996,84.17,998.0999999999998,28.090000000000003,47.75,67.59,84.57999999999998,734.0699999999996,116.49000000000001,229.25999999999993,90.64999999999999,188.69999999999993,75.58000000000001,135.12,227.88999999999996,162.30999999999995,37.519999999999996,52.86,611.0600000000001,21.45,62.17,436.15000000000003,80.07,1163.1399999999999,418.0599999999999,253.33999999999995,496.96999999999997,128.67,41.370000000000005,191.23999999999995,1027.54,210.16999999999996,3478.3100000000013,618.1499999999996,1613.0899999999992,801.8000000000002,745.11,339.28,34.21,144.07,44.980000000000004,106.30000000000001,1328.4700000000003,30.109999999999996,1211.11,52.50999999999999,25.94,8.52
"2017-02-11 00:00:00",276,5380,23920.37,16785.09999999999,6453.289999999997,7326.050000000021,3287.8500000000004,7678.39,5390.740000000002,1260.7099999999996,938.4399999999998,258.58,79.53,127.14,448.71,24.56,322.28,570.1899999999999,2557.450000000002,697.55,240.98999999999995,696.0699999999997,132.98000000000002,1928.8700000000001,917.2999999999996,534.0700000000002,64.25,697.2799999999997,79.33999999999999,1293.9399999999991,437.44,851.7599999999995,91.82,186.15999999999997,89.68999999999998,1239.3699999999992,42.64000000000001,14.54,78.38,479.4199999999999,658.0299999999997,148.63999999999996,141.07,63.959999999999994,139.81,50.080000000000005,157.03,299.73999999999984,166.92999999999998,94.54000000000002,29.020000000000003,470.5099999999998,21.9,48.36,376.1699999999999,18.669999999999998,1994.2299999999982,333.96,288.79999999999995,1002.8999999999992,83.92,444.06,222.09999999999994,1091.2599999999993,198.8199999999999,2983.3699999999994,462.72000000000025,1483.2999999999993,566.3400000000001,1102.8699999999992,294.37,34.96,92.05,24.049999999999997,178.88,1622.7099999999996,15.12,1577.8899999999996,32.489999999999995,22.88,0.0
"2017-02-12 00:00:00",308,6019,26973.619999999995,18416.269999999997,5505.800000000003,6777.870000000019,3542.0099999999993,8733.340000000006,6480.060000000007,1296.71,978.6899999999995,214.9499999999999,138.42,118.86,450.48999999999995,55.970000000000006,318.05999999999995,855.7799999999996,3063.1300000000024,736.7999999999997,305.44999999999993,752.8999999999994,139.14,1999.4800000000007,943.6699999999995,640.3399999999998,149.14999999999995,742.24,84.43999999999998,1486.4299999999992,386.9199999999999,1099.4699999999993,23.080000000000002,229.58999999999995,320.08,1294.0399999999995,34.11,28.9,49.85,478.84,761.9999999999997,126.56,81.91,161.42999999999995,201.4099999999999,91.52999999999999,223.4899999999999,594.18,420.1300000000001,113.92,33.31,829.3099999999995,18.869999999999997,148.90999999999997,620.1599999999997,33.69,1837.339999999999,306.78999999999996,121.27999999999999,906.0899999999998,94.05,519.62,249.24999999999997,1082.74,205.3299999999999,2920.100000000001,313.43,1408.2599999999998,819.8499999999998,1009.7999999999989,196.73,52.959999999999994,322.8400000000001,32.28,484.5199999999999,1789.3399999999997,46.29,1691.6099999999994,33.23,25.75,0.0
"2017-02-13 00:00:00",209,4442,18272.56000000001,12758.040000000008,6381.060000000002,7623.8800000000265,2898.6399999999994,5394.2599999999975,4552.060000000002,960.1899999999998,700.49,211.46999999999994,128.10000000000002,126.59,162.48,71.88,259.74999999999994,519.1799999999998,2001.1899999999985,594.7699999999998,321.46999999999997,473.5999999999998,111.4,1532.6700000000003,616.8399999999998,351.97999999999996,77.24999999999997,688.4900000000001,161.40999999999997,859.9799999999998,399.17,460.8499999999998,21.949999999999996,159.15999999999997,26.22,1030.9799999999998,48.98,69.22000000000001,75.78,191.81999999999996,568.9399999999998,102.23999999999998,85.74,90.31,174.41999999999996,62.16,153.87999999999994,241.42,165.79,39.6,29.630000000000003,557.9699999999999,41.13,94.67999999999999,390.38999999999993,36.14,1462.92,455.1,140.63999999999996,668.8699999999998,116.97999999999999,188.16999999999996,232.38999999999993,992.5599999999998,210.2099999999999,2702.3699999999994,303.84999999999985,1257.5999999999992,707.1599999999999,670.4300000000002,220.20999999999992,75.51,62.72,115.16999999999999,137.37000000000003,1139.5200000000007,13.85,1081.0800000000006,17.45,18.919999999999998,0.0
"2017-02-14 00:00:00",350,7259,30597.660000000007,23669.579999999998,9193.250000000013,14931.520000000091,5725.93,8626.659999999996,6555.210000000012,1520.630000000001,1181.5100000000004,240.79999999999995,729.3199999999999,114.83,37.19,59.400000000000006,339.14,633.82,2806.3799999999974,998.940000000001,352.01,415.26,82.67,1886.9399999999991,787.0500000000001,342.7000000000001,109.78999999999998,1338.0500000000002,457.6100000000001,1214.1299999999999,799.6399999999999,408.26000000000016,16.9,229.08999999999986,31.92,2047.7899999999977,29.099999999999994,402.5900000000002,43.669999999999995,43.34,763.3900000000001,166.52999999999997,173.07,97.03999999999999,149.54,100.63000000000001,158.14999999999998,400.9000000000001,237.6999999999999,72.35,82.51999999999998,1215.9999999999993,36.08,66.22,1071.1499999999994,20.46,2444.8200000000024,1226.4800000000002,265.2499999999999,913.7499999999998,207.0799999999999,66.59,195.81999999999994,1796.5399999999988,165.02999999999994,4731.360000000004,385.1199999999999,2070.709999999998,1296.6599999999996,697.9,1074.9699999999996,164.89,460.12,204.01999999999995,140.01,1637.649999999999,30.24,1553.1899999999994,8.85,44.379999999999995,4.76
"2017-02-15 00:00:00",226,4775,20453.260000000002,14399.879999999986,5927.560000000002,8107.010000000033,3529.2700000000004,5627.7199999999975,4403.729999999998,797.6800000000004,566.6200000000003,149.54999999999998,199.18999999999988,117.15,75.94,24.8,231.0399999999999,665.5900000000007,1936.3200000000015,587.2800000000002,278.8899999999998,351.40000000000003,58.690000000000005,1285.2900000000009,580.5400000000001,340.18000000000006,112.06999999999995,999.1199999999995,80.96000000000001,589.2899999999998,336.1499999999999,253.14999999999995,0.0,125.71000000000004,0.0,1111.7299999999989,33.84,54.74999999999999,118.77,99.36999999999998,652.23,166.79999999999995,233.15999999999988,72.28000000000002,80.91,66.91,98.0,335.6700000000001,180.69999999999993,53.54,101.44,567.5300000000001,22.38,83.16000000000001,358.3299999999999,85.89,1257.6500000000003,545.8899999999998,114.39,516.54,99.42000000000002,103.90999999999998,219.18999999999997,898.3899999999999,228.12999999999985,2932.2000000000007,329.1,1273.5299999999995,730.6800000000002,715.2800000000001,336.06000000000006,69.29,139.70000000000002,76.67999999999999,73.84,1122.2000000000007,24.689999999999998,1072.960000000001,29.689999999999998,0.0,4.76
"2017-02-16 00:00:00",196,4023,16841.61000000001,12126.039999999997,6865.960000000001,7493.13000000002,2584.2800000000007,4812.0499999999965,4671.789999999996,831.4900000000001,621.0600000000001,206.16,135.03999999999996,172.72,53.120000000000005,54.07,206.11999999999998,644.1800000000001,1975.8000000000006,729.0800000000004,361.62000000000006,382.0300000000001,150.57,1525.7599999999989,523.3899999999999,217.58999999999992,103.07999999999997,799.7099999999998,136.87,840.0000000000001,420.15999999999997,379.85999999999996,36.79,211.13999999999996,38.66,1059.1399999999994,59.839999999999996,41.62,67.69000000000001,92.13999999999999,760.3400000000004,122.39,189.19999999999993,148.6,100.83000000000001,50.57,198.78999999999996,244.84999999999997,115.28000000000002,97.63,31.939999999999998,649.0399999999997,21.18,114.58,435.5500000000001,78.24999999999999,1301.22,426.26999999999987,265.79,518.5200000000002,216.25999999999993,108.49,159.18999999999997,1152.91,185.72999999999996,3024.0599999999986,274.22,1258.6099999999994,951.5099999999999,657.2300000000001,414.2399999999999,63.919999999999995,87.26999999999998,38.55,143.73999999999998,963.2700000000002,32.74,892.5100000000003,35.95,24.71,5.88
